# step, loss_train, loss_test, metrics_test
0.000000000000000000e+00 1.406833156943321228e-02 3.382476791739463806e-02 3.380577638745307922e-02 8.755845017731189728e-03 2.828512107953429222e-03 1.880431026220321655e-01 1.363030448555946350e-02 3.382476791739463806e-02 3.380577638745307922e-02 8.755845017731189728e-03 2.828512107953429222e-03 1.880431026220321655e-01
1.000000000000000000e+03 1.217720471322536469e-02 2.964872866868972778e-02 2.815626934170722961e-02 6.379790283972397447e-05 4.895126447081565857e-03 1.398472189903259277e-01 1.700543984770774841e-02 2.964872866868972778e-02 2.815626934170722961e-02 6.379790283972397447e-05 4.895126447081565857e-03 1.398472189903259277e-01
2.000000000000000000e+03 1.657591946423053741e-02 2.093258500099182129e-02 2.871644496917724609e-02 1.755425822921097279e-03 5.283092614263296127e-03 6.603541225194931030e-02 1.983053237199783325e-02 2.093258500099182129e-02 2.871644496917724609e-02 1.755425822921097279e-03 5.283092614263296127e-03 6.603541225194931030e-02
3.000000000000000000e+03 6.394476164132356644e-03 1.597607694566249847e-02 1.824574917554855347e-02 1.747429836541414261e-03 6.541825365275144577e-03 6.407887488603591919e-02 8.787085302174091339e-03 1.597607694566249847e-02 1.824574917554855347e-02 1.747429836541414261e-03 6.541825365275144577e-03 6.407887488603591919e-02
4.000000000000000000e+03 5.202716216444969177e-03 1.460488326847553253e-02 1.626961678266525269e-02 1.934353262186050415e-03 7.154864724725484848e-03 6.201747804880142212e-02 7.754712365567684174e-03 1.460488326847553253e-02 1.626961678266525269e-02 1.934353262186050415e-03 7.154864724725484848e-03 6.201747804880142212e-02
5.000000000000000000e+03 4.879894200712442398e-03 1.365350652486085892e-02 1.535101234912872314e-02 1.996198901906609535e-03 7.494161836802959442e-03 6.153920292854309082e-02 7.898446172475814819e-03 1.365350652486085892e-02 1.535101234912872314e-02 1.996198901906609535e-03 7.494161836802959442e-03 6.153920292854309082e-02
6.000000000000000000e+03 5.576021503657102585e-03 1.326274592429399490e-02 1.535057555884122849e-02 1.894545159302651882e-03 7.807327900081872940e-03 6.040338054299354553e-02 9.079378098249435425e-03 1.326274592429399490e-02 1.535057555884122849e-02 1.894545159302651882e-03 7.807327900081872940e-03 6.040338054299354553e-02
7.000000000000000000e+03 5.559494718909263611e-03 1.292714290320873260e-02 1.419994514435529709e-02 2.163179684430360794e-03 7.970566861331462860e-03 6.183185800909996033e-02 8.983073756098747253e-03 1.292714290320873260e-02 1.419994514435529709e-02 2.163179684430360794e-03 7.970566861331462860e-03 6.183185800909996033e-02
8.000000000000000000e+03 5.031699780374765396e-03 1.253080368041992188e-02 1.458872109651565552e-02 1.988628180697560310e-03 7.903003133833408356e-03 6.069487333297729492e-02 9.124935604631900787e-03 1.253080368041992188e-02 1.458872109651565552e-02 1.988628180697560310e-03 7.903003133833408356e-03 6.069487333297729492e-02
9.000000000000000000e+03 5.280248820781707764e-03 1.271932106465101242e-02 1.480437722057104111e-02 1.774665550328791142e-03 7.966664619743824005e-03 5.970859900116920471e-02 9.672150015830993652e-03 1.271932106465101242e-02 1.480437722057104111e-02 1.774665550328791142e-03 7.966664619743824005e-03 5.970859900116920471e-02
1.000000000000000000e+04 5.117340944707393646e-03 1.249044947326183319e-02 1.465947274118661880e-02 1.763053471222519875e-03 7.897858507931232452e-03 5.976767838001251221e-02 9.731473401188850403e-03 1.249044947326183319e-02 1.465947274118661880e-02 1.763053471222519875e-03 7.897858507931232452e-03 5.976767838001251221e-02
