0 [5.00e-02]
1000 [1.55e+00]
2000 [2.75e+00]
3000 [3.01e+00]
4000 [3.12e+00]
5000 [3.16e+00]
6000 [3.18e+00]
7000 [3.20e+00]
8000 [3.21e+00]
9000 [3.21e+00]
10000 [3.22e+00]
